Model,Clean Acc (%),Robust Acc 1/255 (%),Robust Acc 2/255 (%),Robust Acc 4/255 (%),Robust Acc 8/255 (%),ASR Untargeted 8/255 (%),ASR Random Target 8/255 (%),ASR Least-Likely 8/255 (%)
ResNet18,88.40,44.50,42.20,38.40,31.70,68.30,10.60,1.20
ViT,79.80,35.00,34.20,31.70,28.60,71.40,9.50,1.50
